"sp","protocol","lat","lon","date","count"
"rubl","ebird",38.9133204,-76.9443433,2014-03-21,"6"
"rubl","ebird",38.9133204,-76.9443433,2014-03-21,"3"
"rubl","ebird",38.9133204,-76.9443433,2014-03-22,"2"
"rubl","ebird",38.9133204,-76.9443433,2014-03-22,"5"
"rubl","blitz",39.1121812,-75.5447388,2014-03-22,"6"
"rubl","ebird",39.2670818,-75.4695511,2014-03-15,"5"
"rubl","ebird",39.2670818,-75.4695511,2014-03-15,"5"
"rubl","ebird",39.2670818,-75.4695511,2014-03-22,"70"
"rubl","ebird",39.2670818,-75.4695511,2014-03-22,"70"
"rubl","ebird",39.2670818,-75.4695511,2014-03-22,"70"
"rubl","blitz",39.7779358,-75.498476,2014-03-07,"1"
"rubl","blitz",39.7779358,-75.498476,2014-03-20,"11"
"rubl","blitz",39.7779358,-75.498476,2014-03-21,"2"
"rubl","blitz",39.7779358,-75.498476,2014-03-11,"15"
"rubl","blitz",39.7779358,-75.498476,2014-03-10,"25"
"rubl","blitz",39.7779358,-75.498476,2014-03-11,"10"
"rubl","ebird",39.46611,-75.69597,2014-03-01,"4"
"rubl","ebird",39.6687234,-75.7590119,2014-03-14,"2"
"rubl","blitz",39.5607834,-75.718399,2014-03-27,"2"
"rubl","ebird",39.7859804,-75.5437337,2014-03-03,"3"
"rubl","ebird",39.7572779,-75.7286069,2014-03-03,"2"
"rubl","ebird",39.8164147,-75.5050528,2014-03-29,"1"
"rubl","ebird",39.7129972,-75.7742071,2014-03-06,"2"
"rubl","blitz",39.7179489,-75.5952501,2014-03-19,"11"
"rubl","blitz",39.5607834,-75.718399,2014-03-27,"2"
"rubl","blitz",39.7970734,-75.659668,2014-03-31,"6"
"rubl","blitz",39.7179489,-75.5952501,2014-03-07,"10"
"rubl","blitz",39.7779358,-75.498476,2014-03-07,"1"
"rubl","ebird",39.6687234,-75.7590119,2014-03-07,"12"
"rubl","blitz",39.7179489,-75.5952501,2014-03-07,"10"
"rubl","ebird",39.6687234,-75.7590119,2014-03-21,"6"
"rubl","blitz",39.7779358,-75.498476,2014-03-12,"26"
"rubl","ebird",38.7841137,-75.0980115,2014-03-09,"1"
"rubl","ebird",38.830594,-75.2480918,2014-03-09,"1"
"rubl","ebird",38.830594,-75.2480918,2014-03-09,"1"
"rubl","ebird",38.7841137,-75.0980115,2014-03-09,"1"
"rubl","ebird",38.879079,-75.272948,2014-03-23,"5"
"rubl","ebird",38.7734824,-75.1498384,2014-03-15,"X"
"rubl","ebird",38.7841137,-75.0980115,2014-03-09,"1"
"rubl","ebird",38.830594,-75.2480918,2014-03-09,"1"
"rubl","ebird",30.2586965,-85.8969498,2014-03-19,"15"
"rubl","ebird",30.2586965,-85.8969498,2014-03-19,"15"
"rubl","ebird",30.4508888,-81.5630391,2014-03-17,"2"
"rubl","ebird",30.4622915,-87.3852814,2014-03-02,"2"
"rubl","ebird",29.8818066,-81.2893009,2014-03-07,"1"
"rubl","ebird",34.1722344,-84.7967781,2014-03-10,"20"
"rubl","ebird",34.101681,-84.9110985,2014-03-02,"1"
"rubl","ebird",34.121708,-84.7833481,2014-03-03,"5"
"rubl","ebird",34.372647,-84.941676,2014-03-23,"79"
"rubl","blitz",34.370138,-84.94296,2014-03-02,"250"
"rubl","ebird",32.8330822,-83.6467266,2014-03-10,"12"
"rubl","ebird",32.8415559,-83.6803722,2014-03-10,"4"
"rubl","ebird",32.8415559,-83.6803722,2014-03-09,"2"
"rubl","blitz",32.7809245,-83.5709381,2014-03-08,"4"
"rubl","blitz",32.7809245,-83.5709381,2014-03-08,"4"
"rubl","ebird",32.8388,-83.6077,2014-03-09,"1"
"rubl","ebird",32.8388,-83.6077,2014-03-12,"20"
"rubl","blitz",32.8388,-83.6077,2014-03-01,"12"
"rubl","ebird",32.8388,-83.6077,2014-03-15,"9"
"rubl","ebird",32.8330822,-83.6467266,2014-03-03,"10"
"rubl","ebird",32.8415559,-83.6803722,2014-03-17,"1"
"rubl","blitz",32.7809245,-83.5709381,2014-03-08,"4"
"rubl","ebird",32.8388,-83.6077,2014-03-09,"1"
"rubl","blitz",32.8415559,-83.6803722,2014-03-03,"25"
"rubl","blitz",32.8330822,-83.6467266,2014-03-07,"60"
"rubl","ebird",34.9540647,-85.0410354,2014-03-15,"12"
"rubl","ebird",34.9540647,-85.0410354,2014-03-06,"1"
"rubl","ebird",34.9236248,-85.0129366,2014-03-06,"1"
"rubl","ebird",34.9540647,-85.0410354,2014-03-08,"6"
"rubl","ebird",30.8,-82.3167,2014-03-05,"2"
"rubl","ebird",32.0756209,-81.1679149,2014-03-09,"21"
"rubl","ebird",31.9889939,-81.2888771,2014-03-09,"4"
"rubl","ebird",32.0270701,-80.8530664,2014-03-09,"1"
"rubl","ebird",31.9884761,-81.2908459,2014-03-28,"20"
"rubl","ebird",33.9303998,-83.3714676,2014-03-09,"6"
"rubl","ebird",33.9569589,-83.3665323,2014-03-09,"15"
"rubl","ebird",33.9001498,-83.3857394,2014-03-23,"2"
"rubl","ebird",33.9303998,-83.3714676,2014-03-13,"10"
"rubl","ebird",33.9035475,-83.3699226,2014-03-01,"2"
"rubl","ebird",33.9303998,-83.3714676,2014-03-20,"2"
"rubl","ebird",34.0262545,-83.3833823,2014-03-16,"4"
"rubl","ebird",34.0262545,-83.3833823,2014-03-28,"6"
"rubl","ebird",33.9303998,-83.3714676,2014-03-20,"2"
"rubl","ebird",34.0097399,-83.3722113,2014-03-19,"15"
"rubl","ebird",34.0058543,-83.3781624,2014-03-08,"2"
"rubl","ebird",34.0262545,-83.3833823,2014-03-09,"30"
"rubl","blitz",33.9711963,-83.3789027,2014-03-13,"55"
"rubl","ebird",34.0262545,-83.3833823,2014-03-25,"200"
"rubl","ebird",34.0262545,-83.3833823,2014-03-25,"200"
"rubl","ebird",34.0262545,-83.3833823,2014-03-27,"21"
"rubl","ebird",34.0262545,-83.3833823,2014-03-27,"21"
"rubl","ebird",34.0262545,-83.3833823,2014-03-25,"200"
"rubl","ebird",34.0262545,-83.3833823,2014-03-20,"80"
"rubl","ebird",34.0262545,-83.3833823,2014-03-27,"21"
