"sp","protocol","lat","lon","date","count"
"rubl","ebird",34.7738889,-82.3511111,2009-01-08,"120"
"rubl","ebird",34.7738889,-82.3511111,2009-01-12,"300"
"rubl","ebird",34.7738889,-82.3511111,2009-01-14,"300"
"rubl","ebird",34.7738889,-82.3511111,2009-01-15,"700"
"rubl","ebird",34.7738889,-82.3511111,2009-01-24,"150"
"rubl","ebird",32.164418,-81.114861,2009-01-11,"17"
"rubl","ebird",32.164418,-81.114861,2009-01-18,"3"
"rubl","ebird",33.7372674,-80.4631695,2009-01-02,"25"
"rubl","ebird",35.2826217,-84.7595215,2009-01-08,"X"
"rubl","ebird",35.2826217,-84.7595215,2009-01-05,"X"
"rubl","ebird",35.2826217,-84.7595215,2009-01-20,"25"
"rubl","ebird",35.2826217,-84.7595215,2009-01-13,"100"
"rubl","ebird",35.8122451,-89.2742157,2009-01-14,"100"
"rubl","ebird",36.175372,-86.7088652,2009-01-09,"3"
"rubl","ebird",36.175372,-86.7088652,2009-01-05,"45"
"rubl","ebird",35.9458333,-89.6,2009-01-13,"2"
"rubl","ebird",35.9661111,-89.625,2009-01-14,"1"
"rubl","ebird",35.9647222,-89.6069444,2009-01-22,"4"
"rubl","ebird",35.946327,-89.6144485,2009-01-23,"20"
"rubl","ebird",36.4987906,-81.9781265,2009-01-01,"8"
"rubl","ebird",35.8461876,-84.1560137,2009-01-10,"1"
"rubl","ebird",35.5533333,-87.5211111,2009-01-05,"400"
"rubl","ebird",35.5533333,-87.5211111,2009-01-01,"60"
"rubl","ebird",36.515045,-86.0295,2009-01-31,"10"
"rubl","ebird",36.515045,-86.0295,2009-01-31,"10"
"rubl","ebird",36.6069046,-87.5042996,2009-01-22,"112"
"rubl","ebird",35.0596502,-90.1496887,2009-01-25,"32"
"rubl","ebird",35.5805167,-85.7998969,2009-01-03,"180"
"rubl","ebird",35.7628113,-85.6664085,2009-01-24,"4"
"rubl","ebird",33.1584503,-96.6153376,2009-01-14,"3"
"rubl","ebird",33.1584503,-96.6153376,2009-01-09,"9"
"rubl","ebird",33.1584503,-96.6153376,2009-01-23,"7"
"rubl","ebird",33.1399049,-96.582613,2009-01-01,"1"
"rubl","ebird",32.8156276,-96.7264652,2009-01-04,"2"
"rubl","ebird",32.8156276,-96.7264652,2009-01-12,"2"
"rubl","ebird",32.8156276,-96.7264652,2009-01-21,"3"
"rubl","ebird",29.3735739,-95.6230259,2009-01-10,"2"
"rubl","ebird",29.3735739,-95.6230259,2009-01-17,"2"
"rubl","ebird",29.3735739,-95.6230259,2009-01-11,"2"
"rubl","ebird",29.3735739,-95.6230259,2009-01-18,"1"
"rubl","ebird",29.3735739,-95.6230259,2009-01-17,"2"
"rubl","ebird",29.3735739,-95.6230259,2009-01-19,"2"
"rubl","ebird",29.3735739,-95.6230259,2009-01-18,"X"
"rubl","ebird",29.3735739,-95.6230259,2009-01-26,"2"
"rubl","ebird",29.3735739,-95.6230259,2009-01-26,"2"
